Liga;Casa;Visitante;fair odd over 1.5;fair odd over 2.5;fair odd over 3.5; fair odd under 3.5
Liga Europa;Juventus;Sporting CP;1.143;2.396;4.000;1.334
Liga Europa;Man Utd;Sevilla;1.482;3.464;6.667;1.177
Superliga Argentina;Arsenal;Godoy Cruz;1.667;2.822;20.000;1.053
Superliga Argentina;Colón;Talleres;1.334;2.540;10.000;1.112
Superliga Argentina;River Plate; ;1.334;1.622;5.000;1.250
Superliga Argentina;Tigre;Sarmiento;1.429;4.233;5.000;1.250
Liga Europa;Feyenoord;Roma;1.291;1.671;2.740;1.575
Liga Europa;Leverkusen;Saint-Gilloise;1.143;1.789;2.273;1.786
Europa Conference League;Gent;West Ham;1.429;1.815;2.858;1.539
Europa Conference League;Lech;Fiorentina;1.266;1.549;3.847;1.352
Europa Conference League;Basileia;Nice;1.551;2.802;3.922;1.343
Europa Conference League;Anderlecht;AZ;1.653;1.905;4.652;1.274
Copa do Brasil;Náutico;Cruzeiro;4.000;3.810;0;1.000
Copa do Brasil;Maringá;Flamengo;2.000;7.620;0;1.000
Copa do Brasil;ABC;Grêmio;1.334;7.620;4.000;1.334
Copa dos Campeões da CONCACAF;Tigres;Motagua;3.031;0;0;1.000
Primera División;Envigado;Dep. Tolima;1.504;3.257;8.000;1.143
Primera División;Pasto;Bucaramanga;1.600;3.888;8.000;1.143
Primera División;Junior;Boyacá Chicó;1.667;3.073;4.167;1.316
1. Division;Enosis;Nea Salamis;1.334;1.974;6.061;1.198
1. Division;Doxa;Olympiakos;1.539;2.507;6.667;1.177
Premier League;Mokawloon;Masry;1.681;2.443;5.883;1.205
Premier League;Haras;Zamalek;1.695;2.683;4.879;1.258
Premier League;Ismaily;ENPPI;1.482;2.665;6.452;1.184
Copa;PAOK;Lamia;1.000;2.474;3.774;1.361
