Liga,MediaLiga,TimeCasa,TimeFora,fair odd over 1.5,fair odd over 2.5,fair odd over 3.5, fair odd under 3.5
Série B,,Guarani,Avaí,0,0,0,1.000
Série B,,Ituano,Ceará,0,5.388,0,1.000
Liga MX,,A San Luis,Juárez,1.429,2.082,4.445,1.291
Liga MX,,Necaxa,Puebla,1.299,1.797,2.899,1.527
La Liga,2.45,Vallecano,Osasuna,1.482,2.986,8.000,1.143
Bundesliga,3.14,Schalke 04,Hertha BSC,1.258,1.657,2.817,1.551
Primeira Liga,2.46,Famalicão,Guimarães,1.924,2.027,4.445,1.291
Ligue 1,2.81,Toulouse,Lyon,1.227,1.575,2.986,1.504
Serie A TIM,2.51,Cremonese,Empoli,1.380,2.198,3.390,1.419
Serie A TIM,2.51,Spezia,Lazio,1.352,2.575,4.167,1.316
Primera Division,,Palestino,Cobresal,1.059,1.404,2.598,1.627
Primera Division,,Ñublense,Coquimbo,1.283,1.844,6.061,1.198
Primera Division,,Everton,Magallanes,1.124,1.617,3.637,1.380
Primera Division,,Sp. Cristal,Boys,1.409,2.458,8.334,1.137
Primera Division,,Melgar,Cienciano,1.600,3.179,8.000,1.143
Primera Division,,Nacional,Fénix,1.539,1.605,3.334,1.429
Championship,,Middlesbrough,Norwich,1.343,1.815,3.175,1.460
Liga Adelante,,Albacete,Eibar,1.527,2.140,6.897,1.170
1e Klasse,,Standard,Charleroi,1.361,1.991,2.440,1.695
Serie B,,Modena,Parma,1.640,3.279,3.774,1.361
Liga SABSEG,,UD Oliveirense,Farense,1.291,2.073,2.986,1.504
2. Liga,2.89,Greuther Fürth,Regensburg,1.316,1.971,3.390,1.419
2. Liga,2.89,Hannover,Heidenheim,1.316,1.949,2.986,1.504
Eredivisie,3,Excelsior,Go Ahead,1.316,1.614,2.381,1.725
Super Liga Turca,2.97,Galatasaray,Kayseri,1.266,1.235,3.334,1.429
Super Liga Turca,2.97,Antalyaspor,Alanyaspor,1.235,1.558,2.532,1.653
