Liga,Casa,Visitante,fair odd over 1.5,fair odd over 2.5, fair odd under 3.5
Série B,Guarani,Avaí,0,3.472,1.000
Série B,Ituano,Ceará,0,5.657,1.000
Liga MX,A San Luis,Juárez,1.450,2.271,1.250
Liga MX,Necaxa,Puebla,1.270,2.229,1.660
La Liga,Vallecano,Osasuna,1.439,3.135,1.147
Bundesliga,Schalke 04,Hertha BSC,1.224,1.914,1.755
Primeira Liga,Famalicão,Guimarães,1.870,2.177,1.216
Ligue 1,Toulouse,Lyon,1.220,1.654,1.575
Serie A TIM,Cremonese,Empoli,1.487,2.308,1.347
Serie A TIM,Spezia,Lazio,1.316,2.704,1.266
Primera Division,Palestino,Cobresal,1.026,1.474,1.688
Primera Division,Ñublense,Coquimbo,1.209,1.936,1.262
Primera Division,Everton,Magallanes,1.134,1.697,1.429
Primera Division,Sp. Cristal,Boys,1.380,2.308,1.056
Primera Division,Melgar,Cienciano,1.312,3.338,1.127
Primera Division,Nacional,Fénix,1.291,1.686,1.667
Championship,Middlesbrough,Norwich,1.389,1.954,1.450
Liga Adelante,Albacete,Eibar,1.471,2.246,1.220
1e Klasse,Standard,Charleroi,1.325,2.090,1.755
Serie B,Modena,Parma,1.582,3.443,1.385
Liga SABSEG,UD Oliveirense,Farense,1.303,2.177,1.404
2. Liga,Greuther Fürth,Regensburg,1.347,2.069,1.366
2. Liga,Hannover,Heidenheim,1.316,2.047,1.445
Eredivisie,Excelsior,Go Ahead,1.274,1.695,1.575
Super Liga Turca,Galatasaray,Kayseri,1.205,1.297,1.563
Super Liga Turca,Antalyaspor,Alanyaspor,1.167,1.636,1.844
