Liga;Casa;Visitante;fair odd over 1.5;odd over 1.5;% valor;fair odd over 2.5;odd over 2.5;% valor; fair odd under 3.5;odd under 3.5;% valor;;;;;;
Bundesliga;Bayern Munique;Hoffenheim;1,15;1,071;-6,87%;1,467;1,25;-14,79%;1,77;2,3;29,94%;;;;;;
Bundesliga;Stuttgart;Dortmund;1,216;1,2;-1,32%;1,811;1,66;-8,34%;1,471;1,5;1,97%;;;;;;
Bundesliga;Köln;Mainz 05;1,262;1,3;3,01%;1,907;1,9;-0,37%;1,434;1,33;-7,25%;;;;;;
Bundesliga;Leipzig;Augsburg;1,15;1,12;-2,61%;1,477;1,4;-5,21%;1,695;1,8;6,19%;;;;;;
Bundesliga;Frankfurt;M'gladbach;1,18;1,2;1,69%;1,88;1,61;-14,36%;1,681;1,5;-10,77%;;;;;;
La Liga;Cádiz;Real Madrid;1,316;1,25;-5,02%;2,342;1,8;-23,14%;1,419;1,4;-1,34%;;;;;;
La Liga;Villarreal;Valladolid;1,389;1,22;-12,17%;2,199;1,66;-24,51%;1,191;1,44;20,91%;;;;;;
La Liga;Athletic Club;Real Sociedad;1,725;1,5;-13,04%;3,288;2,5;-23,97%;1,303;1,2;-7,90%;;;;;;
La Liga;Betis;Espanyol;1,414;1,36;-3,82%;1,843;2,1;13,94%;1,316;1,25;-5,02%;;;;;;
Liga MX;Mazatlán;Tijuana;1,174;1,2;2,21%;1,493;1,65;10,52%;1,419;1,44;1,48%;;;;;;
Liga MX;Atlas;Pachuca;1,409;1,33;-5,61%;1,78;2,05;15,17%;1,551;1,25;-19,41%;;;;;;
Liga MX;León;Guadalajara;1,424;1,25;-12,22%;1,945;1,85;-4,88%;1,37;1,33;-2,92%;;;;;;
Ligue 1;PSG;Lens;1,414;1,2;-15,13%;2,02;1,66;-17,82%;1,375;1,5;9,09%;;;;;;
Premier League;Chelsea;Brighton;1,389;1,28;-7,85%;2,459;1,9;-22,73%;1,424;1,33;-6,60%;;;;;;
Premier League;Man City;Leicester;1,134;1,11;-2,12%;1,487;1,36;-8,54%;1,802;1,9;5,44%;;;;;;
Premier League;Aston Villa;Newcastle;1,312;1,28;-2,44%;2,015;1,9;-5,71%;1,338;1,33;-0,60%;;;;;;
Premier League;Southampton;Crystal Palace;1,539;1,44;-6,43%;2,342;2,37;1,20%;1,321;1,2;-9,16%;;;;;;
Premier League;Everton;Fulham;1,487;1,4;-5,85%;2,235;2,2;-1,57%;1,239;1,25;0,89%;;;;;;
Premier League;Wolverhampton;Brentford;1,482;1,4;-5,53%;2,593;2,3;-11,30%;1,366;1,22;-10,69%;;;;;;
Premier League;Tottenham;Bournemouth;1,224;1,22;-0,33%;2,265;1,72;-24,06%;1,504;1,44;-4,26%;;;;;;
Primeira Liga;Chaves;Benfica;1,338;1,14;-14,80%;2,032;1,5;-26,18%;1,262;1,57;24,41%;;;;;;
Primeira Liga;Porto;Santa Clara;1,66;1,14;-31,33%;1,949;1,47;-24,58%;1,375;1,61;17,09%;;;;;;
Primeira Liga;Estoril;Portimonense;1,582;1,36;-14,03%;2,701;2,2;-18,55%;1,262;1,22;-3,33%;;;;;;
Primeira Liga;Marítimo;Paços Ferreira;1,455;1,36;-6,53%;1,855;2,2;18,60%;1,247;1,22;-2,17%;;;;;;
Serie A TIM;Bologna;Milan;1,316;1,44;9,42%;2,217;2,37;6,90%;1,254;1,2;-4,31%;;;;;;
Serie A TIM;Inter;Monza;1,409;1,25;-11,28%;2,877;1,8;-37,43%;1,338;1,4;4,63%;;;;;;
Serie A TIM;Napoli;Verona;1,266;1,3;2,69%;2,5;1,9;-24,00%;1,338;1,33;-0,60%;;;;;;
Superliga Argentina;Def y Justicia;Instituto;1,455;1,5;3,09%;2,486;2,5;0,56%;1,303;1,16;-10,97%;;;;;;
Superliga Argentina;Boca Juniors;Estudiantes;1,499;1,44;-3,94%;1,945;2,4;23,39%;1,147;1,18;2,88%;;;;;;
Superliga Argentina;Huracán;Argentinos;1,434;1,5;4,60%;3,848;2,6;-32,43%;1,134;1,14;0,53%;;;;;;
Superliga Argentina;Gimn La Plata;Belgrano;1,551;1,5;-3,29%;2,198;2,5;13,74%;1,258;1,16;-7,79%;;;;;;
