Liga;Casa;Visitante;fair odd over 1.5; odd over 1.5; % valor; fair odd over 2.5; odd over 2.5; % valor; fair odd under 3.5; odd under 3.5; % valor;
Bundesliga;Bremen;Freiburg;1,198;1,29;7,68%;1,871;1,91;2,08%;1,647;1,36;-17,43%;
Bundesliga;Union Berlin;Bochum;1,174;1,36;15,84%;1,754;2,1;19,73%;1,455;1,29;-11,34%;
Bundesliga;Wolfsburg;Leverkusen;1,127;1,22;8,25%;1,536;1,73;12,63%;2,041;1,44;-29,45%;
La Liga;Getafe;Barcelona;1,703;1,4;-17,79%;2,617;2,2;-15,93%;1,299;1,25;-3,77%;
La Liga;Atlético;Almería;1,274;1,2;-5,81%;2,037;1,62;-20,47%;1,329;1,53;15,12%;
La Liga;Girona;Elche;1,247;1,25;0,24%;1,776;1,8;1,35%;1,424;1,36;-4,49%;
La Liga;Valência;Sevilla;1,334;1,4;4,95%;2,416;2,2;-8,94%;1,227;1,25;1,87%;
Liga MX;Cruz Azul;América;1,316;1,2;-8,81%;1,684;1,7;0,95%;1,613;1,44;-10,73%;
Liga MX;Pumas;Toluca;1,209;1,18;-2,40%;1,492;1,65;10,59%;1,647;1,44;-12,57%;
Liga MX;Querétaro;Tigres;1,37;1,29;-5,84%;2,357;1,9;-19,39%;1,303;1,33;2,07%;
Liga MX;Monterrey;Santos Laguna;1,278;1,18;-7,67%;1,664;1,62;-2,64%;1,563;1,5;-4,03%;
Ligue 1;Monaco;Lorient;1,239;1,14;-7,99%;1,778;1,5;-15,64%;1,786;1,67;-6,49%;
Ligue 1;Marseille;Troyes;1,198;1,13;-5,68%;1,55;1,44;-7,10%;1,819;1,73;-4,89%;
Premier League;West Ham;Arsenal;1,247;1,25;0,24%;1,803;1,8;-0,17%;1,419;1,4;-1,34%;
Premier League;Nottm Forest;Man Utd;1,312;1,25;-4,73%;2,281;1,8;-21,09%;1,414;1,4;-0,99%;
Primeira Liga;Rio Ave;Casa Pia;1,924;1,57;-18,40%;2,829;2,88;1,80%;1,262;1,13;-10,46%;
Primeira Liga;Braga;Gil Vicente;1,493;1,17;-21,63%;1,936;1,57;-18,90%;1,471;1,53;4,01%;
Primeira Liga;Sporting CP;Arouca;1,262;1,19;-5,71%;2,411;1,57;-34,88%;1,325;1,57;18,49%;
Serie A TIM;Sassuolo;Juventus;1,613;1,3;-19,40%;2,853;2;-29,90%;1,239;1,3;4,92%;
Serie A TIM;Roma;Udinese;1,71;1,4;-18,13%;2,36;2,3;-2,54%;1,274;1,22;-4,24%;
Superliga Argentina;Unión;Tigre;1,157;1,36;17,55%;3,269;2,15;-34,23%;1,224;1,25;2,12%;
Superliga Argentina;Vélez;Barracas C;1,375;1,36;-1,09%;2,296;2,15;-6,36%;1,361;1,22;-10,36%;
Superliga Argentina;Independiente;Racing Club;1,338;1,39;3,89%;2,025;2,15;6,17%;1,455;1,27;-12,71%;
Superliga Argentina;NOB;River Plate;1,74;1,4;-19,54%;3,123;2,25;-27,95%;1,048;1,2;14,50%;
Superliga Argentina;Talleres;San Lorenzo;1,633;0;-100,00%;2,34;2,4;2,56%;1,163;0;-100,00%;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
