;;;;;;;;;;;;;;
Liga;Casa;Visitante;fair odd over 1.5; odd over 1.5; % valor; fair odd over 2.5; odd over 2.5; % valor; fair odd under 3.5; odd under 3.5; % valor;;;
Premier League;Leeds;Liverpool;1,419;1,17;-17,55%;1,988;1,57;-21,03%;1,582;1,57;-0,76%;;;
Superliga Argentina;Platense;Colón;1,466;1,36;-7,23%;3,033;2,4;-20,87%;1,325;1,26;-4,91%;;;
Superliga Argentina;Banfield;Córdoba SdE;1,802;0;-100,00%;3,767;2,5;-33,63%;1,134;0;-100,00%;;;
Superliga Argentina;Sarmiento;Arsenal;1,455;0;-100,00%;3,022;2,3;-23,89%;1,202;0;-100,00%;;;
Superliga Argentina;Atl. Tucumán;R. Central;1,389;0;-100,00%;2,728;2,4;-12,02%;1,316;0;-100,00%;;;
Superliga Argentina;Godoy Cruz;Lanús;1,429;0;-100,00%;2,577;2,28;-11,53%;1,105;0;-100,00%;;;
La Liga;Celta Vigo;Mallorca;1,471;1,59;8,09%;2,271;2,63;15,81%;1,243;1,17;-5,87%;;;
Primeira Liga;Vizela;Boavista;1,493;1,34;-10,25%;1,594;2,05;28,61%;1,477;1,27;-14,01%;;;
Serie A TIM;Fiorentina;Atalanta;1,27;1,3;2,36%;2,865;1,91;-33,33%;1,254;1,4;11,64%;;;
Primera Division;Curicó Unido;Unión Española;1,399;0;-100,00%;1,751;0;-100,00%;1,493;0;-100,00%;;;
Primera Division;La Luz;Dep. Maldonado;1,38;0;-100,00%;1,619;0;-100,00%;1,62;0;-100,00%;;;
Liga Adelante;Levante;Mirandés;1,981;1,34;-32,36%;3,152;2,05;-34,96%;1,213;1,27;4,70%;;;
Liga SABSEG;Vilafranquense;Estrela Amadora;1,308;0;-100,00%;2,08;0;-100,00%;1,343;0;-100,00%;;;
Ligue 2;Grenoble;Saint-Étienne;1,539;0;-100,00%;2,095;2,15;2,63%;1,347;1,06;-21,31%;;;
Allsvenskan;Varberg;Sirius;2;1,31;-34,50%;2,676;1,95;-27,13%;1,143;1,32;15,49%;;;
Primera División;Huila;Pasto;1,445;0;-100,00%;2,396;2,3;-4,01%;1,266;0;-100,00%;;;
Superligaen;Randers;Nordsjælland;1,477;1,28;-13,34%;1,974;1,85;-6,28%;1,356;1,36;0,29%;;;
Premier League;Smouha;Ahly;1,25;1,32;5,60%;1,519;1,98;30,35%;1,18;1,3;10,17%;;;
Premier League;Zamalek;Mokawloon;1,394;0;-100,00%;1,867;0;-100,00%;1,278;0;-100,00%;;;
Division Profesional;Libertad;Resistencia;1,455;0;-100,00%;2,843;0;-100,00%;1,205;0;-100,00%;;;
Division Profesional;General Caballero JLM;Luqueño;1,409;0;-100,00%;2,003;0;-100,00%;1,499;0;-100,00%;;;
Ekstraklasa;Stal Mielec;Miedź;1,399;1,37;-2,07%;3,123;2,25;-27,95%;1,235;1,21;-2,02%;;;
Eerste Divisie;AZ II;Utrecht II;1,195;1,14;-4,60%;2;1,6;-20,00%;1,66;1,54;-7,23%;;;
Eerste Divisie;Ajax;PSV II;1,163;1,09;-6,28%;1,616;1,48;-8,42%;1,6;1,73;8,12%;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
