Liga;Casa;Visitante;fair odd over 1.5; odd over 1.5; % valor; fair odd over 2.5; odd over 2.5; % valor; fair odd under 3.5; odd under 3.5; % valor
Liga dos Campeões da UEFA;Bayern Munique;Man City;1,262;0;-100,00%;1,743;1,57;-9,93%;1,409;0;-100,00%
Liga dos Campeões da UEFA;Inter;Benfica;1,262;1,29;2,22%;3,436;1,91;-44,41%;1,419;1,33;-6,27%
Copa Libertadores da América;Nacional;Medellín;1,334;0;-100,00%;1,921;2,15;11,92%;1,213;0;-100,00%
Copa Libertadores da América;River Plate;Sp. Cristal;1,905;0;-100,00%;2,41;1,5;-37,76%;1,539;0;-100,00%
Copa Libertadores da América;Barcelona;Bolívar;2;0;-100,00%;2,116;1,75;-17,30%;1,334;0;-100,00%
Copa Bridgestone Sul-Americana;Guaraní;Danubio;1,6;0;-100,00%;2,171;2,1;-3,27%;2;0;-100,00%
Copa Bridgestone Sul-Americana;Def y Justicia;América-MG;2;0;-100,00%;4;2,15;-46,25%;1,334;0;-100,00%
Copa Bridgestone Sul-Americana;LDU Quito;Magallanes;1,334;0;-100,00%;1,901;1,75;-7,94%;2,667;0;-100,00%
Championship;Watford;Cardiff;1,477;0;-100,00%;2,617;2,12;-18,99%;1,303;0;-100,00%
Championship;QPR;Norwich;1,45;0;-100,00%;2,16;0;-100,00%;1,283;0;-100,00%
Championship;Swansea;Preston;1,487;0;-100,00%;2,245;2,05;-8,69%;1,334;0;-100,00%
Championship;Blackburn;Coventry;1,703;0;-100,00%;2,256;0;-100,00%;1,25;0;-100,00%
Championship;Middlesbrough;Hull;1,38;0;-100,00%;1,939;1,8;-7,17%;1,539;0;-100,00%
Championship;Reading;Luton;1,404;0;-100,00%;3,789;2;-47,22%;1,195;0;-100,00%
Eredivisie;Go Ahead;Waalwijk;1,375;1,22;-11,27%;1,925;1,8;-6,49%;1,861;1,36;-26,92%
Super Liga Turca;İstanbulspor;Antalyaspor;1,325;0;-100,00%;1,882;0;-100,00%;1,429;0;-100,00%
Super Liga Turca;Kayseri;Kasımpaşa;1,312;0;-100,00%;1,483;0;-100,00%;1,482;0;-100,00%
Super Liga Turca;Beşiktaş;Hatay;1,419;0;-100,00%;1,435;0;-100,00%;1,557;0;-100,00%
Super Liga Turca;Konyaspor;Demirspor;1,439;0;-100,00%;2,227;0;-100,00%;1,37;0;-100,00%
Super Liga Turca;Başakşehir;Fenerbahçe;1,243;0;-100,00%;1,881;0;-100,00%;1,394;0;-100,00%
Liga Premier;Inhulets';Rukh Vynnyky;1,409;1,49;5,75%;1,719;2,6;51,25%;1,099;1,21;10,10%
