Liga,Casa,Visitante,fair odd over 1.5, odd over 1.5, % valor, fair odd over 2.5, odd over 2.5, % valor, fair odd under 3.5, odd under 3.5, % valor
Premier League,Leeds,Liverpool,1.419,1.17,-0.17547568710359415,1.988,1.57,-0.21026156941649896,1.582,1.57,-0.007585335018963344
Superliga Argentina,Platense,Colón,1.466,1.33,-0.09276944065484305,3.033,2.10,-0.30761622156280904,1.325,1.25,-0.05660377358490563
Superliga Argentina,Banfield,Córdoba SdE,1.802,1.44,-0.20088790233074366,3.767,2.35,-0.37616140164587203,1.134,1.18,0.04056437389770727
Superliga Argentina,Sarmiento,Arsenal,1.455,1.40,-0.037800687285223476,3.022,2.25,-0.25545996029119783,1.202,1.22,0.014975041597337785
Superliga Argentina,Atl. Tucumán,R. Central,1.389,1.44,0.03671706263498915,2.728,2.35,-0.13856304985337248,1.316,1.18,-0.10334346504559279
Superliga Argentina,Godoy Cruz,Lanús,1.429,0,-1.0,2.577,2.30,-0.10748932867675597,1.105,0,-1.0
La Liga,Celta Vigo,Mallorca,1.471,1.53,0.04010876954452749,2.271,2.63,0.15808014090708938,1.243,1.17,-0.058728881737731435
Primeira Liga,Vizela,Boavista,1.493,1.33,-0.10917615539182855,1.594,2.05,0.2860727728983687,1.477,1.25,-0.1536899119837509
Serie A TIM,Fiorentina,Atalanta,1.270,1.29,0.015748031496063006,2.865,1.91,-0.3333333333333334,1.254,1.36,0.08452950558213723
Primera Division,Curicó Unido,Unión Española,1.399,0,-1.0,1.751,1.70,-0.029126213592232972,1.493,0,-1.0
Primera Division,La Luz,Dep. Maldonado,1.380,0,-1.0,1.619,2.20,0.35886349598517614,1.620,0,-1.0
Liga Adelante,Levante,Mirandés,1.981,1.30,-0.3437657748611812,3.152,2.00,-0.3654822335025381,1.213,1.29,0.06347897774113763
Liga SABSEG,Vilafranquense,Estrela Amadora,1.308,1.33,0.01681957186544344,2.080,2.05,-0.014423076923077042,1.343,1.25,-0.06924795234549513
Ligue 2,Grenoble,Saint-Étienne,1.539,1.36,-0.11630929174788814,2.095,2.15,0.026252983293555947,1.347,1.22,-0.09428359317000742
Allsvenskan,Varberg,Sirius,2.000,1.29,-0.355,2.676,1.95,-0.27130044843049334,1.143,1.30,0.13735783027121612
Primera División,Huila,Pasto,1.445,0,-1.0,2.396,2.30,-0.040066777963272154,1.266,0,-1.0
Superligaen,Randers,Nordsjælland,1.477,1.25,-0.1536899119837509,1.974,1.85,-0.06281661600810531,1.356,1.33,-0.01917404129793512
Premier League,Smouha,Ahly,1.250,1.31,0.04800000000000004,1.519,1.94,0.2771560236998025,1.180,1.31,0.11016949152542384
Premier League,Zamalek,Mokawloon,1.394,1.45,0.04017216642754667,1.867,2.32,0.2426352437064809,1.278,1.17,-0.0845070422535212
Division Profesional,Libertad,Resistencia,1.455,0,-1.0,2.843,0,-1.0,1.205,0,-1.0
Division Profesional,General Caballero JLM,Luqueño,1.409,0,-1.0,2.003,0,-1.0,1.499,0,-1.0
Ekstraklasa,Stal Mielec,Miedź,1.399,1.36,-0.02787705503931374,3.123,2.15,-0.3115593980147295,1.235,1.22,-0.01214574898785435
Eerste Divisie,AZ II,Utrecht II,1.195,1.18,-0.01255230125523023,2.000,1.62,-0.18999999999999995,1.660,1.50,-0.09638554216867466
Eerste Divisie,Ajax,PSV II,1.163,1.13,-0.028374892519346637,1.616,1.48,-0.08415841584158423,1.600,1.67,0.0437499999999999
