;;;;;;;;;;;;;
Liga;Casa;Visitante;fair odd over 1.5; odd over 1.5; % valor; fair odd over 2.5; odd over 2.5; % valor; fair odd under 3.5; odd under 3.5; % valor;;
Liga dos Campeões da UEFA;Chelsea;Real Madrid;1,09;1,29;18,35%;2,136;1,91;-10,58%;1,262;1,36;7,77%;;
Liga dos Campeões da UEFA;Napoli;Milan;1,209;1,36;12,49%;1,923;2,1;9,20%;1,545;1,25;-19,09%;;
Copa Libertadores da América;Fluminense;The Strongest;2;0;-100,00%;1,954;1,57;-19,65%;2;0;-100,00%;;
Copa Libertadores da América;Athletico PR;Atlético-MG;3,637;0;-100,00%;4,927;2,25;-54,33%;1,112;0;-100,00%;;
Copa Bridgestone Sul-Americana;RB Bragantino;O. Petrolero;4;0;-100,00%;2,564;1,6;-37,60%;1,334;0;-100,00%;;
Copa Bridgestone Sul-Americana;NOB;Blooming;8;0;-100,00%;4,364;1,75;-59,90%;1,143;0;-100,00%;;
Copa Bridgestone Sul-Americana;Estudiantes;Tacuary;4;0;-100,00%;8,485;1,75;-79,38%;1,334;0;-100,00%;;
Copa Bridgestone Sul-Americana;Palestino;Estudiantes M.;4;0;-100,00%;2,421;1,8;-25,65%;1,143;0;-100,00%;;
Championship;Sheff Utd;Bristol City;1,366;1,29;-5,56%;2,748;1,87;-31,95%;1,347;1,37;1,71%;;
Championship;Rotherham;Burnley;1,274;1,33;4,40%;2,156;2,1;-2,60%;1,329;1,29;-2,93%;;
Championship;Sunderland;Huddersfield;1,399;1,29;-7,79%;1,831;1,91;4,31%;1,295;1,33;2,70%;;
Championship;Stoke;Wigan;1,424;1,36;-4,49%;2,433;2,1;-13,69%;1,278;1,29;0,94%;;
Championship;Blackpool;West Bromwich;1,46;1,33;-8,90%;2,005;2;-0,25%;1,375;1,29;-6,18%;;
Championship;Millwall;Birmingham;1,414;1,4;-0,99%;2,546;2,3;-9,66%;1,191;1,22;2,43%;;
Super Liga Turca;Fatih;Ümraniye;1,167;1,15;-1,46%;1,402;1,53;9,13%;2,021;1,62;-19,84%;;
Super Liga Turca;Alanyaspor;Galatasaray;1,283;0;-100,00%;1,317;1,44;9,34%;1,551;0;-100,00%;;
Primera División;Once Caldas;Petrolera;1,755;0;-100,00%;5,138;2,25;-56,21%;1,087;0;-100,00%;;
Primera División;Jaguares;Equidad;1,545;1,46;-5,50%;3,515;2,48;-29,45%;1,184;1,15;-2,87%;;
1. Division;Nea Salamis;Doxa;1,329;0;-100,00%;1,726;0;-100,00%;1,258;0;-100,00%;;
1. Division;Akritas;Olympiakos;1,424;0;-100,00%;1,851;0;-100,00%;1,278;0;-100,00%;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
