Rodada,EscanteioCasa,AtkPerigosoCasa,PosseCasa,Casa,ScoreCasa,X,ScoreVisitante,Visitante,PosseVisitante,AtkPerigosoVisitante,EscanteioVisitante
3,5,30,40,Benfica,1,X,1,Paris SG,60,66,6
3,4,29,46,Chelsea,3,X,0,AC Milan,54,28,3
3,6,46,51,Juventus,3,X,1,Maccabi Haifa,49,46,5
3,7,91,73,Manchester City,5,X,0,FC Copenhagen,27,9,1
3,10,93,56,Real Madrid,2,X,1,Shakhtar Donetsk,44,16,1
3,5,61,56,Sevilla,1,X,4,Dortmund,44,24,4
3,3,43,57,RB Leipzig,3,X,1,Celtic,43,39,5
3,5,59,49,Salzburg,1,X,0,D. Zagreb,51,42,3
3,4,36,46,Ajax,1,X,6,Napoli,54,33,4
3,2,44,48,Club Brugge KV,2,X,0,Atl. Madrid,52,51,5
3,6,32,45,Eintracht Frankfurt,0,X,0,Tottenham,55,46,4
3,4,41,43,FC Porto,2,X,0,Bayer Leverkusen,57,44,2
3,3,29,32,Inter,1,X,0,Barcelona,68,106,13
3,13,73,61,Liverpool,2,X,0,Rangers,39,17,1
3,3,67,65,Bayern Munich,5,X,0,Plzen,35,19,1
3,6,57,60,Marseille,4,X,1,Sporting CP,40,21,2
2,3,63,69,Chelsea,1,X,1,Salzburg,31,27,2
2,3,31,39,FC Copenhagen,0,X,0,Sevilla,61,57,5
2,4,41,46,Juventus,1,X,2,Benfica,54,67,11
2,4,36,48,Maccabi Haifa,1,X,3,Paris SG,52,54,11
2,6,84,64,Manchester City,2,X,1,Dortmund,36,20,2
2,5,43,46,Rangers,0,X,3,Napoli,54,62,5
2,3,53,53,Real Madrid,2,X,0,RB Leipzig,47,28,5
2,3,57,56,AC Milan,3,X,1,D. Zagreb,44,26,1
2,2,19,46,Shakhtar Donetsk,1,X,1,Celtic,54,70,5
2,7,39,47,Bayer Leverkusen,2,X,0,Atl. Madrid,53,53,4
2,4,58,47,Bayern Munich,2,X,0,Barcelona,53,63,4
