Rodada,EscanteioCasa,AtkPerigosoCasa,PosseCasa,Casa,ScoreCasa,X,ScoreVisitante,Visitante,PosseVisitante,AtkPerigosoVisitante,EscanteioVisitante
31,3,58,50,Santos,4,X,1,Juventude,50,23,8
31,4,28,44,Atletico GO,1,X,1,Palmeiras,56,30,9
31,16,70,63,Atletico-MG,0,X,0,Ceara,37,23,0
31,5,35,34,Coritiba,2,X,1,Bragantino,66,90,8
31,8,60,62,Fluminense,0,X,2,America MG,38,52,7
31,3,32,35,Fortaleza,2,X,0,Avai,65,28,6
31,10,64,67,Sao Paulo,0,X,1,Botafogo RJ,33,24,4
31,6,52,61,Internacional,4,X,2,Goias,39,34,6
31,5,33,51,Corinthians,2,X,1,Athletico-PR,49,34,6
31,7,44,45,Cuiaba,1,X,2,Flamengo RJ,55,53,6
30,3,9,33,America MG,1,X,2,Sao Paulo,67,30,3
30,3,13,56,Avai,1,X,2,Botafogo RJ,44,17,5
30,9,69,56,Palmeiras,4,X,0,Coritiba,44,23,6
30,11,99,67,Flamengo RJ,0,X,0,Internacional,33,24,3
30,5,23,44,Santos,1,X,2,Atletico-MG,56,38,4
30,13,32,64,Athletico-PR,1,X,1,Fortaleza,36,21,4
30,12,50,40,Atletico GO,3,X,2,Fluminense,60,30,5
30,2,58,46,Bragantino,2,X,1,Cuiaba,54,70,7
30,7,44,52,Ceara,1,X,1,Goias,48,32,3
30,2,45,34,Juventude,2,X,2,Corinthians,66,69,5
29,2,28,49,Botafogo RJ,1,X,3,Palmeiras,51,53,6
29,7,42,60,Corinthians,2,X,0,Cuiaba,40,38,4
29,11,55,51,Athletico-PR,2,X,0,Juventude,49,31,4
29,11,79,59,Avai,1,X,2,Atletico GO,41,43,3
29,10,122,67,Flamengo RJ,4,X,1,Bragantino,33,15,1
29,6,56,54,Goias,0,X,1,Fortaleza,46,41,3
29,10,40,29,Atletico-MG,2,X,0,Fluminense,71,58,1
29,5,53,60,Ceara,1,X,2,America MG,40,35,4
29,2,44,47,Internacional,1,X,0,Santos,53,42,5
28,7,78,68,Atletico-MG,0,X,1,Palmeiras,32,36,9
28,6,46,45,Goias,0,X,1,Botafogo RJ,55,51,11
28,6,56,59,Internacional,0,X,0,Bragantino,41,45,3
28,2,35,42,Cuiaba,2,X,1,America MG,58,40,4
28,5,62,65,Corinthians,2,X,1,Atletico GO,35,40,4
28,7,40,32,Coritiba,1,X,0,Ceara,68,55,3
28,5,63,62,Fluminense,4,X,0,Juventude,38,28,5
28,7,34,28,Fortaleza,3,X,2,Flamengo RJ,72,43,3
28,5,27,48,Santos,2,X,0,Athletico-PR,52,35,4
28,9,49,61,Sao Paulo,4,X,0,Avai,39,40,4
27,10,63,54,Atletico GO,1,X,2,Internacional,46,34,2
27,8,56,64,Athletico-PR,2,X,2,Cuiaba,36,40,4
27,8,66,54,Palmeiras,1,X,0,Santos,46,39,5
27,4,55,45,America MG,1,X,0,Corinthians,55,45,8
27,14,53,62,Juventude,1,X,1,Fortaleza,38,22,2
27,4,24,39,Ceara,0,X,2,Sao Paulo,61,58,10
27,6,71,50,Flamengo RJ,1,X,2,Fluminense,50,33,2
27,5,63,60,Bragantino,1,X,1,Goias,40,30,2
27,5,37,53,Botafogo RJ,2,X,0,Coritiba,47,56,10
27,2,28,39,Avai,1,X,0,Atletico-MG,61,81,10
26,4,33,29,Goias,1,X,1,Flamengo RJ,71,78,9
26,7,38,42,Coritiba,2,X,0,Atletico GO,58,38,8
26,3,17,43,Sao Paulo,1,X,1,Corinthians,57,36,7
26,7,75,69,Avai,1,X,1,Athletico-PR,31,31,2
26,6,51,47,Botafogo RJ,0,X,0,America MG,53,36,11
26,14,82,67,Palmeiras,2,X,1,Juventude,33,18,3
26,5,43,66,Fluminense,2,X,1,Fortaleza,34,35,6
26,3,37,43,Ceara,2,X,1,Santos,57,42,5
26,4,75,68,Internacional,1,X,0,Cuiaba,32,37,3
26,7,70,61,Atletico-MG,1,X,1,Bragantino,39,22,5
25,13,81,66,Santos,1,X,2,Goias,34,17,2
25,7,43,33,Cuiaba,1,X,1,Sao Paulo,67,61,5
25,5,51,50,Atletico GO,0,X,2,Atletico-MG,50,33,3
25,2,37,50,Corinthians,2,X,2,Internacional,50,64,8
25,5,45,57,Fortaleza,1,X,3,Botafogo RJ,43,31,9
25,13,58,62,Flamengo RJ,1,X,1,Ceara,38,26,7
25,4,60,51,America MG,2,X,0,Coritiba,49,65,5
25,6,26,26,Athletico-PR,1,X,0,Fluminense,74,77,3
25,2,25,41,Bragantino,2,X,2,Palmeiras,59,45,11
25,7,45,39,Juventude,1,X,1,Avai,61,37,3
24,5,48,48,Corinthians,1,X,0,Bragantino,52,25,5
24,10,56,55,Internacional,4,X,0,Juventude,45,39,1
24,3,46,45,Botafogo RJ,0,X,1,Flamengo RJ,55,41,4
24,14,71,47,Cuiaba,0,X,0,Santos,53,25,2
24,6,39,43,America MG,1,X,1,Atletico-MG,57,44,1
24,7,73,72,Sao Paulo,0,X,1,Fortaleza,28,25,2
24,8,85,59,Ceara,0,X,0,Athletico-PR,41,49,3
24,3,68,61,Fluminense,1,X,1,Palmeiras,39,43,3
24,4,70,44,Coritiba,1,X,0,Avai,56,60,5
24,3,44,31,Goias,2,X,1,Atletico GO,69,65,3
23,8,33,50,Avai,0,X,1,Internacional,50,65,4
23,5,53,29,Santos,1,X,0,Sao Paulo,71,102,9
23,2,47,58,Athletico-PR,1,X,1,America MG,42,49,7
23,3,28,37,Atletico GO,1,X,1,Cuiaba,63,85,17
23,10,63,58,Bragantino,1,X,1,Ceara,42,28,2
23,4,35,36,Fortaleza,1,X,0,Corinthians,64,45,7
23,10,58,56,Palmeiras,1,X,1,Flamengo RJ,44,25,4
23,2,20,35,Juventude,2,X,2,Botafogo RJ,65,67,4
23,11,64,64,Fluminense,5,X,2,Coritiba,36,69,3
23,7,96,73,Atletico-MG,0,X,1,Goias,27,14,0
22,6,46,32,Internacional,3,X,0,Fluminense,68,60,5
